PLR_ID,PLR_NAME,Overall Resilience,Social,Economic,Infrastructure and Housing,Environmental,Community Capital
08401245,Frauenviertel,3.43,0.39,0.71,1,0.65,0.68
08401242,Zittauer Straße,2.94,0.27,0.91,0.27,0.66,0.83
08100416,Alt-Rixdorf,2.91,0.34,0.53,0.96,0.58,0.51
08100101,Hasenheide,2.81,0.42,0.39,0.78,0.79,0.44
08200730,Handwerker-Siedlung,2.8,0.49,0.53,0.36,0.74,0.69
08401243,Alt-Rudow,2.76,0.32,0.87,0.41,0.45,0.71
08200623,Park am Buschkrug,2.74,0.5,0.6,0.64,0.57,0.42
08200729,Britzer Garten,2.69,0.16,0.83,0.63,1,0.07
08100310,Maybachufer,2.69,0.42,0.66,0.67,0.56,0.37
08100207,Rollberg,2.68,0.56,0.19,0.83,0.33,0.77
08100103,Schillerpromenade Süd,2.62,0.29,0.4,0.79,0.75,0.39
08401246,Waltersdorfer Chaussee Ost,2.61,0.04,0.82,0.29,0.87,0.6
08401244,Waßmannsdorfer Chaussee,2.6,0.2,0.96,0.01,0.87,0.58
08301036,Gropiusstadt Mitte,2.57,0.07,0.47,0.48,0.54,1
08200725,Mohriner Allee Nord,2.56,0.37,0.93,0.56,0.71,0
08100208,Körnerpark,2.42,0.37,0.41,0.44,0.69,0.49
08100102,Schillerpromenade Nord,2.36,0.56,0.47,0.31,0.61,0.41
08401138,Goldhähnchenweg,2.34,0.21,0.5,0.79,0.63,0.22
08300935,Gropiusstadt Süd-West,2.3,0.07,0.66,0.36,0.53,0.67
08401140,Vogelviertel Nord,2.3,0.02,0.87,0.57,0.46,0.38
08100206,Flughafenstraße,2.27,1,0.44,0.45,0,0.38
08100311,Reuterplatz,2.25,0.37,0.64,0.35,0.49,0.39
08100418,Hertzbergplatz,2.21,0.26,0.46,0.51,0.62,0.36
08200728,Ortolanweg,2.21,0.31,0.48,0.62,0.52,0.27
08100312,Weichselplatz,2.19,0.48,0.46,0.29,0.43,0.54
08401139,Vogelviertel Süd,2.17,0.29,0.86,0.37,0.29,0.36
08200726,Hufeisensiedlung,2.15,0.11,0.77,0.3,0.64,0.32
08401241,Blumenviertel,2.1,0.2,1,0.1,0.41,0.4
08100104,Wartheplatz,2.09,0.25,0.3,0.41,0.57,0.56
08200832,Buckow Mitte,2.07,0.3,0.75,0.31,0.42,0.28
08200727,Parchimer Allee Süd,2.04,0.19,0.51,0.46,0.57,0.31
08200833,Buckow Ost,2.03,0.09,0.67,0.38,0.45,0.44
08100419,Treptower Straße Nord,1.98,0.21,0.29,0.65,0.62,0.21
08100415,Ganghoferstraße,1.95,0.55,0.51,0.37,0.21,0.31
08301037,Gropiusstadt Süd-Ost,1.85,0.08,0.31,0.54,0.48,0.43
08200831,Buckow West,1.83,0.1,0.84,0.22,0.43,0.24
08300934,Gropiusstadt Nord-West,1.76,0.06,0.51,0.29,0.4,0.51
08100314,Donaustraße,1.67,0.69,0.36,0.21,0.03,0.38
08100417,Braunschweiger Straße,1.66,0.38,0.41,0.2,0.38,0.28
08100520,Weiße Siedlung,1.65,0.19,0.31,0.51,0.45,0.2
08100105,Silbersteinstraße,1.63,0.3,0.44,0.21,0.42,0.27
08200624,Tempelhofer Weg,1.59,0.03,0.48,0.49,0.41,0.19
08100209,Glasower Straße,1.47,0.59,0.43,0.21,0.04,0.2
08100313,Bouchéstraße,1.46,0,0.47,0,0.68,0.3
08100521,Schulenburgpark,1.25,0.07,0,0.63,0.32,0.23
08200622,Jahnstraße,1.24,0.35,0.3,0.34,0.14,0.11
