PLR_ID,PLR_NAME,Social Score,schools_per_1000_6_18,medcare_per_1000,pharmacy_per_1000,pop_15_65_pc,singleparent_pc
08100206,Flughafenstraße,0.69,0.26,1,0.88,0.96,0.38
08100314,Donaustraße,0.54,0.28,0.17,0.69,0.98,0.56
08100209,Glasower Straße,0.48,0.12,0.24,0.66,0.88,0.51
08100207,Rollberg,0.47,0.2,0.74,0.38,0.64,0.37
08100102,Schillerpromenade Nord,0.47,0.17,0.29,0.52,1,0.35
08100415,Ganghoferstraße,0.46,0,0.32,0.65,0.9,0.44
08200623,Park am Buschkrug,0.44,0.52,0.17,0.47,0.45,0.58
08200730,Handwerker-Siedlung,0.43,0.32,0.21,0.43,0.38,0.81
08100312,Weichselplatz,0.42,0.36,0.18,0.36,0.93,0.29
08100310,Maybachufer,0.4,0,0.22,0.36,0.96,0.44
08100101,Hasenheide,0.39,0.28,0.38,0,0.95,0.35
08401245,Frauenviertel,0.38,0.49,0,0.38,0.46,0.55
08100417,Braunschweiger Straße,0.38,0.23,0.07,0.14,0.98,0.46
08100208,Körnerpark,0.37,0.28,0.17,0.23,0.92,0.25
08100311,Reuterplatz,0.37,0,0.24,0.39,1,0.22
08200725,Mohriner Allee Nord,0.37,0.38,0,0,0.46,1
08200622,Jahnstraße,0.36,0.27,0.25,0,0.74,0.53
08100416,Alt-Rixdorf,0.35,0.18,0.32,0,0.87,0.39
08401243,Alt-Rudow,0.34,0.22,0.28,0.43,0.28,0.52
08200728,Ortolanweg,0.34,1,0,0,0.28,0.42
08200832,Buckow Mitte,0.33,0.43,0.12,0.37,0.23,0.52
08100105,Silbersteinstraße,0.33,0.16,0.06,0.25,0.73,0.45
08401139,Vogelviertel Süd,0.33,0,0.25,0.35,0.28,0.75
08100103,Schillerpromenade Süd,0.32,0,0.23,0.19,0.98,0.22
08401242,Zittauer Straße,0.32,0.43,0.15,0,0.24,0.77
08100418,Hertzbergplatz,0.31,0.14,0.11,0,0.9,0.42
08100104,Wartheplatz,0.31,0,0,0.21,0.98,0.33
08401138,Goldhähnchenweg,0.28,0,0.12,1,0,0.3
08100419,Treptower Straße Nord,0.28,0.25,0,0,0.73,0.44
08401241,Blumenviertel,0.28,0,0,0.34,0.28,0.77
08401244,Waßmannsdorfer Chaussee,0.28,0,0.39,0,0.21,0.79
08200727,Parchimer Allee Süd,0.27,0.72,0.04,0.18,0.44,0
08100520,Weiße Siedlung,0.27,0.12,0,0.25,0.5,0.51
08200729,Britzer Garten,0.26,0,0,0,0.41,0.87
08200726,Hufeisensiedlung,0.23,0.15,0.11,0,0.38,0.53
08200831,Buckow West,0.23,0.14,0,0.17,0.33,0.5
08200833,Buckow Ost,0.22,0.29,0,0,0.36,0.47
08301037,Gropiusstadt Süd-Ost,0.22,0,0.03,0.13,0.4,0.53
08301036,Gropiusstadt Mitte,0.21,0.39,0,0,0.21,0.47
08300935,Gropiusstadt Süd-West,0.21,0.37,0,0.19,0.13,0.38
08100521,Schulenburgpark,0.21,0.13,0.04,0,0.49,0.42
08300934,Gropiusstadt Nord-West,0.2,0.08,0.08,0.23,0.21,0.43
08401246,Waltersdorfer Chaussee Ost,0.19,0.12,0,0,0.3,0.56
08200624,Tempelhofer Weg,0.19,0,0.08,0.16,0.55,0.16
08401140,Vogelviertel Nord,0.19,0,0,0,0.37,0.56
08100313,Bouchéstraße,0.18,0,0,0,0.69,0.19
