PLR_ID,PLR_NAME,Environmental Score,airpollution_qual,bioclimate_qual,green_area_pc,noise_dn_mean,water_dist_mean
08200729,Britzer Garten,0.77,1,1,0.43,0.56,0.83
08401246,Waltersdorfer Chaussee Ost,0.68,1,1,0.17,0.37,0.84
08401244,Waßmannsdorfer Chaussee,0.67,1,0.5,0.18,0.84,0.85
08100101,Hasenheide,0.62,1,0.5,1,0.35,0.26
08100103,Schillerpromenade Süd,0.59,0.5,0.5,0.97,1,0
08200730,Handwerker-Siedlung,0.59,1,1,0.14,0.32,0.48
08200725,Mohriner Allee Nord,0.57,1,0.5,0,0.46,0.87
08100208,Körnerpark,0.56,0.5,0.5,0.17,0.79,0.83
08100313,Bouchéstraße,0.55,0.5,0.5,0,0.78,0.97
08401242,Zittauer Straße,0.54,1,0.5,0.06,0.78,0.34
08401245,Frauenviertel,0.53,0.5,0,0.48,0.92,0.74
08200726,Hufeisensiedlung,0.52,0.5,0.5,0.34,0.31,0.97
08401138,Goldhähnchenweg,0.51,0.5,0.5,0,0.9,0.66
08100418,Hertzbergplatz,0.51,0.5,0.5,0.11,0.54,0.89
08100419,Treptower Straße Nord,0.51,0.5,0.5,0.04,0.54,0.95
08100102,Schillerpromenade Nord,0.5,0.5,0.5,0.21,0.89,0.42
08100416,Alt-Rixdorf,0.48,0,0.5,0.09,0.83,1
08200623,Park am Buschkrug,0.48,0.5,0.5,0.18,0.36,0.83
08200727,Parchimer Allee Süd,0.47,0.5,0.5,0.22,0.43,0.73
08100104,Wartheplatz,0.47,0.5,0.5,0.22,0.73,0.41
08100310,Maybachufer,0.47,0,0.5,0,0.95,0.9
08301036,Gropiusstadt Mitte,0.45,0.5,0.5,0.31,0.67,0.28
08300935,Gropiusstadt Süd-West,0.45,0.5,0.5,0.14,0.56,0.56
08200728,Ortolanweg,0.44,1,0.5,0.02,0,0.69
08100311,Reuterplatz,0.42,0,0.5,0.05,0.66,0.91
08301037,Gropiusstadt Süd-Ost,0.42,0.5,0.5,0.06,0.85,0.17
08401140,Vogelviertel Nord,0.4,0.5,0.5,0,0.32,0.69
08200833,Buckow Ost,0.39,0.5,0.5,0.02,0.94,0
08100520,Weiße Siedlung,0.39,0.5,0.5,0,0.18,0.78
08401243,Alt-Rudow,0.39,0.5,0.5,0.04,0.42,0.49
08100312,Weichselplatz,0.38,0,0.5,0.07,0.61,0.73
08200831,Buckow West,0.38,0.5,0.5,0,0.45,0.44
08200832,Buckow Mitte,0.37,0.5,0.5,0.05,0.4,0.41
08100105,Silbersteinstraße,0.37,0.5,0.5,0,0.03,0.82
08401241,Blumenviertel,0.37,0.5,0.5,0.01,0.23,0.59
08200624,Tempelhofer Weg,0.36,0.5,0,0.1,0.37,0.85
08300934,Gropiusstadt Nord-West,0.36,0.5,0.5,0.09,0.41,0.28
08100417,Braunschweiger Straße,0.35,0,0.5,0,0.47,0.76
08100207,Rollberg,0.31,0,0.5,0.15,0.53,0.38
08100521,Schulenburgpark,0.3,0.5,0,0.06,0.16,0.79
08401139,Vogelviertel Süd,0.29,0.5,0.5,0,0.21,0.23
08100415,Ganghoferstraße,0.23,0,0,0,0.45,0.7
08200622,Jahnstraße,0.19,0,0,0.03,0.21,0.68
08100209,Glasower Straße,0.12,0,0,0,0.25,0.35
08100314,Donaustraße,0.11,0,0,0,0.22,0.31
08100206,Flughafenstraße,0.09,0,0,0.01,0.36,0.08
